Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Sol Rad
 01/01/22, 00:00:00,5.9,1.8,16,824.3,64,0,0
 01/01/22, 00:15:00,5.7,1.8,19,824.1,66,0,0
 01/01/22, 00:30:00,5.6,1.8,6,823.9,71,0,0
 01/01/22, 00:45:00,5.7,0.9,313,823.9,71,0,0
 01/01/22, 01:00:00,5.5,1.5,28,823.8,71,0,0
 01/01/22, 01:15:00,5.4,0.9,28,823.9,73,0,0
 01/01/22, 01:30:00,5.4,1.7,20,823.8,71,0,0
 01/01/22, 01:45:00,5.3,0.6,24,823.7,71,0,0
 01/01/22, 02:00:00,5.5,1.7,25,823.6,70,0,0
 01/01/22, 02:15:00,5.4,1.5,11,823.4,70,0,0
 01/01/22, 02:30:00,4.9,2.2,25,823.3,70,0,0
 01/01/22, 02:45:00,5.2,1.3,16,823.3,68,0,0
 01/01/22, 03:00:00,5.4,0.5,278,823.3,62,0,0
 01/01/22, 03:15:00,5.4,1.2,304,823.1,60,0,0
 01/01/22, 03:30:00,5.6,0.7,280,823.1,59,0,0
 01/01/22, 03:45:00,5.8,1.1,27,822.9,60,0,0
 01/01/22, 04:00:00,5.8,0.3,359,822.8,61,0,0
 01/01/22, 04:15:00,5.6,0.9,290,822.7,61,0,0
 01/01/22, 04:30:00,5.7,0.8,304,822.7,61,0,0
 01/01/22, 04:45:00,6,1.4,297,822.8,56,0,0
 01/01/22, 05:00:00,6,1.2,37,822.9,53,0,0
 01/01/22, 05:15:00,6.1,1,341,822.9,51,0,0
 01/01/22, 05:30:00,6.1,1.2,19,822.9,48,0,0
 01/01/22, 05:45:00,6.3,1.6,336,822.9,47,0,0
 01/01/22, 06:00:00,6.3,0.9,307,823,46,0,0
 01/01/22, 06:15:00,6.3,0.7,283,823.2,48,0,0
 01/01/22, 06:30:00,6,0.9,290,823.3,49,0,0
 01/01/22, 06:45:00,5.8,0.5,252,823.4,52,0,0
 01/01/22, 07:00:00,5.8,0.9,308,823.5,52,0,0
 01/01/22, 07:15:00,5.6,0.7,295,823.6,52,0,0
 01/01/22, 07:30:00,5.7,0.6,273,823.7,54,0,35
 01/01/22, 07:45:00,7.3,0.3,359,823.8,50,0,64
 01/01/22, 08:00:00,8.8,0.7,84,824.1,48,0,96
 01/01/22, 08:15:00,8.9,1.2,175,824.4,51,0,130
 01/01/22, 08:30:00,9.1,1.6,172,824.5,52,0,165
 01/01/22, 08:45:00,9.2,1,191,824.7,55,0,199
 01/01/22, 09:00:00,9.1,1.5,4,824.8,54,0,232
 01/01/22, 09:15:00,8.9,2.1,151,824.9,55,0,264
 01/01/22, 09:30:00,9.5,1.7,175,825.1,54,0,293
 01/01/22, 09:45:00,9.1,2,198,825.2,55,0,320
 01/01/22, 10:00:00,9.9,1.7,196,825.3,54,0,344
 01/01/22, 10:15:00,9.7,1.8,182,825.4,57,0,367
 01/01/22, 10:30:00,10.1,1.4,188,825.4,55,0,388
 01/01/22, 10:45:00,10,2.4,182,825.3,58,0,404
 01/01/22, 11:00:00,10.2,1.8,90,825.2,62,0,417
 01/01/22, 11:15:00,10,2.5,158,825.1,60,0,428
 01/01/22, 11:30:00,9.9,1.2,338,824.9,61,0,437
 01/01/22, 11:45:00,9.5,2.6,135,824.6,63,0,447
 01/01/22, 12:00:00,9.8,1.1,271,824.4,62,0,448
