Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Rain Hourly
31/12/2017,19:00:00,5.4,2.2,98,805,58,0,0
31/12/2017,19:15:00,5.5,2.3,89,804.9,55,0,0
31/12/2017,19:30:00,5.3,1.8,79,804.7,55,0,0
31/12/2017,19:45:00,5.5,2,88,804.7,53,0,0
31/12/2017,20:00:00,5.6,1.5,95,804.7,51,0,0
31/12/2017,20:15:00,5.6,1.6,107,804.7,51,0,0
31/12/2017,20:30:00,5.3,1.7,96,804.5,51,0,0
31/12/2017,20:45:00,5.1,1.2,70,804.5,50,0,0
31/12/2017,21:00:00,4.8,2.2,91,804.4,52,0,0
31/12/2017,21:15:00,4.8,1.2,81,804.3,52,0,0
31/12/2017,21:30:00,4.9,1.6,90,804.3,53,0,0
31/12/2017,21:45:00,4.8,1.8,98,804.2,55,0,0
31/12/2017,22:00:00,4.6,1.5,88,804.2,55,0,0
31/12/2017,22:15:00,4.7,2.2,72,804,51,0,0
31/12/2017,22:30:00,5,2.6,74,803.8,48,0,0
31/12/2017,22:45:00,4.9,2,67,803.7,49,0,0
31/12/2017,23:00:00,4.8,1.8,95,803.7,48,0,0
31/12/2017,23:15:00,4.6,2.5,88,803.6,49,0,0
31/12/2017,23:30:00,4.6,2.2,85,803.6,50,0,0
31/12/2017,23:45:00,4.3,1.7,109,803.6,52,0,0
1/1/2018,0:00:00,4.2,2.2,100,803.7,52,0,0
1/1/2018,0:15:00,4.2,1.6,115,803.8,53,0,0
1/1/2018,0:30:00,4.1,1.2,98,803.9,54,0,0
1/1/2018,0:45:00,4.1,1.6,107,804,55,0,0
1/1/2018,1:00:00,4.1,2.2,75,804.2,53,0,0
1/1/2018,1:15:00,4.1,1.7,142,804.3,55,0,0
1/1/2018,1:30:00,3.9,1,99,804.4,57,0,0
1/1/2018,1:45:00,3.7,1.7,102,804.5,58,0,0
1/1/2018,2:00:00,4.4,2,121,804.6,57,0,0
1/1/2018,2:15:00,5.8,2.2,121,804.8,54,0,0
1/1/2018,2:30:00,6.7,1.6,124,805.2,53,0,0
1/1/2018,2:45:00,7.5,2.4,126,805.3,53,0,0
1/1/2018,3:00:00,8.1,2.3,133,805.4,53,0,0
1/1/2018,3:15:00,9.2,2.7,127,805.6,53,0,0
1/1/2018,3:30:00,9.6,2.6,133,805.8,55,0,0
1/1/2018,3:45:00,9.9,2.7,134,806.2,58,0,0
1/1/2018,4:00:00,10.4,2.5,136,806.3,58,0,0
1/1/2018,4:15:00,10.9,2.2,141,806.5,58,0,0
1/1/2018,4:30:00,11.3,3.2,137,806.5,59,0,0
1/1/2018,4:45:00,11.2,2.2,141,806.5,61,0,0
1/1/2018,5:00:00,11,1.9,155,806.6,59,0,0
1/1/2018,5:30:00,12.2,1.4,147,806.6,57,0,0
1/1/2018,5:45:00,12.3,1,133,806.5,57,0,0
1/1/2018,6:00:00,12.4,2.2,145,806.4,57,0,0
1/1/2018,6:15:00,12.2,1.1,158,806.2,59,0,0
1/1/2018,6:30:00,10.9,1.1,148,806.1,64,0,0
1/1/2018,6:45:00,9.8,1.1,159,805.9,72,0,0
1/1/2018,7:00:00,8.4,1.6,138,805.9,75,0,0
1/1/2018,7:15:00,8,1.2,114,805.8,80,0,0
1/1/2018,7:30:00,9,1,165,805.4,80,0,0
1/1/2018,7:45:00,11.1,1.7,146,805.2,70,0,0
1/1/2018,8:00:00,9.2,1.8,142,805,76,0,0
1/1/2018,8:15:00,7.9,1.1,147,804.9,81,0,0
1/1/2018,8:30:00,7.8,1,145,804.5,79,0,0
1/1/2018,8:45:00,9.3,1,158,804.6,76,0,0
1/1/2018,9:00:00,11.1,1.2,167,804.5,68,0,0
1/1/2018,9:15:00,9.6,0.8,150,804.4,71,0,0
1/1/2018,9:30:00,10.1,0.9,164,804.3,73,0,0
1/1/2018,9:45:00,8.6,0.8,143,804.3,80,0,0
1/1/2018,10:00:00,7.7,1.2,154,804.3,85,0,0
1/1/2018,10:15:00,8.6,0.6,118,804.3,76,0,0
1/1/2018,10:30:00,6.8,0.8,151,804.2,85,0,0
1/1/2018,10:45:00,6.4,0.4,173,804.3,90,0,0
1/1/2018,11:00:00,6,0.7,132,804.1,94,0,0
1/1/2018,11:15:00,5.5,0.6,129,804.1,97,0,0
1/1/2018,11:30:00,5.1,0.4,92,804.1,99,0,0
1/1/2018,11:45:00,4.7,0.9,78,804.1,100,0,0
1/1/2018,12:00:00,4.4,1.8,99,804.1,100,0,0
1/1/2018,12:15:00,4.6,1.3,111,804.1,100,0,0
1/1/2018,12:30:00,4.5,2,113,804.1,100,0,0
1/1/2018,12:45:00,4.5,2.2,109,804.2,100,0,0
1/1/2018,13:00:00,4.4,2,109,804.3,100,0,0
1/1/2018,13:15:00,4.3,1.1,101,804.4,100,0,0
1/1/2018,13:30:00,3.9,0.9,47,804.5,100,0,0
1/1/2018,13:45:00,4,0.8,64,804.5,100,0,0
1/1/2018,14:00:00,4,1.1,56,804.5,100,0,0
1/1/2018,14:15:00,4.2,0.6,184,804.6,100,0,0
1/1/2018,14:30:00,3.9,0.5,167,804.6,100,0,0
1/1/2018,14:45:00,3.9,0.9,53,804.7,94,0,0
1/1/2018,15:00:00,4,1,133,804.6,83,0,0
1/1/2018,15:15:00,4,0.8,88,804.6,74,0,0
1/1/2018,15:30:00,4.1,0.9,81,804.6,68,0,0
1/1/2018,15:45:00,4.2,1.1,130,804.6,64,0,0
1/1/2018,16:00:00,4.2,1.2,103,804.7,58,0,0
1/1/2018,16:15:00,4.3,1.2,103,804.7,54,0,0
1/1/2018,16:30:00,4.3,0.9,90,804.7,53,0,0
1/1/2018,16:45:00,4.1,0.7,152,804.7,55,0,0
1/1/2018,17:00:00,4.1,1,103,804.7,56,0,0
1/1/2018,17:15:00,4.1,1.3,104,804.6,57,0,0
1/1/2018,17:30:00,4,1.5,173,804.5,57,0,0
1/1/2018,17:45:00,4.2,1.4,157,804.4,57,0,0
1/1/2018,18:00:00,4.2,1.3,140,804.3,58,0,0
1/1/2018,18:15:00,4.1,1,90,804.3,57,0,0
1/1/2018,18:30:00,3.9,0.7,212,804.3,58,0,0
1/1/2018,18:45:00,4.1,0.6,130,804.3,57,0,0
1/1/2018,19:00:00,4.1,0.7,84,804.3,59,0,0
1/1/2018,19:15:00,4.2,0.7,172,804.3,60,0,0
1/1/2018,19:30:00,3.9,1,104,804.2,65,0,0
1/1/2018,19:45:00,3.6,0.8,32,804.2,65,0,0
1/1/2018,20:00:00,3.5,0.8,328,804,66,0,0
1/1/2018,20:15:00,3.7,1.8,84,803.9,66,0,0
1/1/2018,20:30:00,3.7,1.2,96,803.7,67,0,0
1/1/2018,20:45:00,3.3,0.7,109,803.6,68,0,0
1/1/2018,21:00:00,3.1,1.1,88,803.6,69,0,0
1/1/2018,21:15:00,2.9,1.4,114,803.5,68,0,0
1/1/2018,21:30:00,3.4,1.1,104,803.7,63,0,0
1/1/2018,21:45:00,3.8,2,82,803.5,60,0,0
1/1/2018,22:00:00,4,2.2,98,803.5,57,0,0
1/1/2018,22:15:00,4,1.4,126,803.5,57,0,0
1/1/2018,22:30:00,3.7,1.1,102,803.5,58,0,0
1/1/2018,22:45:00,3.4,0.9,65,803.5,59,0,0
1/1/2018,23:00:00,3.5,1.6,73,803.5,59,0,0
1/1/2018,23:15:00,4,2.2,116,803.4,56,0,0
1/1/2018,23:30:00,3.7,1.6,101,803.4,56,0,0
1/1/2018,23:45:00,4.1,2.4,128,803.5,56,0,0
2/1/2018,0:00:00,4.2,1.4,90,803.5,54,0,0
