Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily
31/12/2016,19:00:00,6.9,4.6,112,809.1,68,0
31/12/2016,20:00:00,6.6,2.7,100,808.7,70,0
31/12/2016,21:00:00,6.5,2.8,105,808.5,75,0
31/12/2016,22:00:00,6.3,2.3,103,808.2,75,0
31/12/2016,23:00:00,6.1,3.3,109,808.1,80,0
01/01/2017,0:00:00,6.2,3.4,100,808.3,78,0
01/01/2017,1:00:00,6.1,2.3,90,808.7,76,0
01/01/2017,2:00:00,6.5,3.1,128,809.2,78,0
01/01/2017,3:00:00,9.9,3.9,130,810,72,0
01/01/2017,4:00:00,12.5,4.3,129,810.8,66,0
01/01/2017,5:00:00,14,4.1,134,811.1,60,0
01/01/2017,6:00:00,14.1,4.3,127,810.6,62,0
01/01/2017,7:00:00,13.9,2,146,809.8,61,0
01/01/2017,8:00:00,12.3,2.1,139,808.9,66,0
01/01/2017,9:00:00,9.7,3.5,129,808.6,69,0
01/01/2017,10:00:00,7.3,1.3,114,808.4,88,0
01/01/2017,11:00:00,7,2.1,125,808.3,92,0
01/01/2017,12:00:00,7.2,2.7,131,808.4,94,0
01/01/2017,13:00:00,6.6,1.7,140,808.6,96,0
01/01/2017,14:00:00,6.3,2,101,808.9,89,0
01/01/2017,15:00:00,6.2,1.8,98,809.3,86,0
01/01/2017,16:00:00,6.3,2.2,141,809.4,85,0
01/01/2017,17:00:00,6.2,1.2,115,809.5,87,0
01/01/2017,18:00:00,6,1.3,143,809.5,87,0
01/01/2017,19:00:00,5.9,2.7,108,809.2,87,0
01/01/2017,20:00:00,6.1,2.4,112,809,86,0
01/01/2017,21:00:00,6.3,1.7,113,808.9,88,0
01/01/2017,22:00:00,6.5,3.6,126,808.9,90,0
01/01/2017,23:00:00,5.5,1.8,154,808.9,93,0
02/01/2017,0:00:00,3.5,3.8,91,809,3,3
02/01/2017,1:00:00,3.3,5.2,96,808.4,2,3
02/01/2017,2:00:00,4.6,3.5,109,809.2,84,3
02/01/2017,3:00:00,8.3,2.4,122,810.4,85,3
02/01/2017,4:00:00,9.8,2.9,109,811.2,79,0
02/01/2017,5:00:00,10.5,2.2,131,811.6,80,0
02/01/2017,6:00:00,6.8,2.5,79,811.2,84,0
02/01/2017,7:00:00,12.4,2.5,149,810.7,72,0
02/01/2017,8:00:00,13.1,2.5,132,810,64,0
02/01/2017,9:00:00,8.9,2.5,109,809.7,74,0
02/01/2017,10:00:00,6.8,5,124,809.4,78,0
02/01/2017,11:00:00,7.2,2,144,809.6,78,0
02/01/2017,12:00:00,6.9,2.8,64,809.9,80,0
02/01/2017,13:00:00,6.6,1.1,219,810.2,79,0
02/01/2017,14:00:00,7,0.5,186,810.7,71,0
02/01/2017,15:00:00,7.1,0.7,137,811.2,71,0
02/01/2017,16:00:00,6.8,0.4,243,811.5,73,0
02/01/2017,17:00:00,6.8,0.6,169,811.4,73,0
02/01/2017,18:00:00,6.5,2.2,136,811.2,76,0
02/01/2017,19:00:00,6.5,2.4,130,810.8,82,0
02/01/2017,20:00:00,6.3,2.9,80,810.4,82,0
02/01/2017,21:00:00,7.3,1.8,27,810.3,63,0
02/01/2017,22:00:00,7,1.2,51,810.1,65,0
02/01/2017,23:00:00,6.8,2.2,88,809.7,66,0
03/01/2017,0:00:00,6.9,1.6,99,809.8,63,0
03/01/2017,1:00:00,6.7,2.6,101,810.1,66,0
03/01/2017,2:00:00,6.9,2.3,99,810.6,66,0
03/01/2017,3:00:00,9.8,2.4,96,811,62,0
03/01/2017,4:00:00,11.8,0.6,193,811.7,58,0
03/01/2017,5:00:00,12,1,257,811.8,59,0
03/01/2017,6:00:00,12.1,2.2,240,811.5,64,0
03/01/2017,7:00:00,13.3,1.6,241,810.6,65,0
03/01/2017,8:00:00,10.1,1.5,252,809.7,80,0
03/01/2017,9:00:00,11.4,2.7,261,809.2,77,0
03/01/2017,10:00:00,11.6,2.8,242,808.8,74,0
03/01/2017,11:00:00,10.4,1.8,258,808.7,83,0
03/01/2017,12:00:00,6.8,1.8,331,808.8,96,0
03/01/2017,13:00:00,7.4,3.8,288,809.2,75,0
03/01/2017,14:00:00,8.1,2,24,809.5,62,0
03/01/2017,15:00:00,8,2,331,809.7,64,0
03/01/2017,16:00:00,7.7,3.1,314,809.9,65,0
03/01/2017,17:00:00,7.4,0.6,292,809.9,67,0
03/01/2017,18:00:00,8,0.4,180,809.6,65,0
03/01/2017,19:00:00,8.6,0.8,340,809.1,59,0
