Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Sol Rad
01/01/2015, 00:00:00,8.5,5.7,20,822,40,0,0
01/01/2015, 00:15:00,8.5,5.9,24,821.9,40,0,0
01/01/2015, 00:30:00,8.9,5.1,39,822,38,0,0
01/01/2015, 00:45:00,8.8,5.8,19,821.9,38,0,0
01/01/2015, 01:00:00,8.6,5.8,27,821.8,39,0,0
01/01/2015, 01:15:00,9.4,6,28,821.9,34,0,0
01/01/2015, 01:30:00,9.4,5.6,30,821.7,35,0,0
01/01/2015, 01:45:00,9.6,5.1,0,821.8,32,0,0
01/01/2015, 02:00:00,9.3,4.7,31,821.6,50,0,0
01/01/2015, 02:15:00,9.2,4,37,821.6,51,0,0
01/01/2015, 02:30:00,9.4,4.3,24,821.5,51,0,0
01/01/2015, 02:45:00,9.4,4.6,24,821.4,53,0,0
01/01/2015, 03:00:00,9.6,4.1,2,821.5,52,0,0
01/01/2015, 03:15:00,10.2,3.6,16,821.4,49,0,0
01/01/2015, 03:30:00,9.8,5.9,32,821.2,49,0,0
01/01/2015, 03:45:00,10.2,5.7,36,821.3,46,0,0
01/01/2015, 04:00:00,10.5,5.6,34,821.2,46,0,0
01/01/2015, 04:15:00,10.2,5.7,22,821.2,41,0,0
01/01/2015, 04:30:00,10.2,6,31,821.1,39,0,0
01/01/2015, 04:45:00,10.1,4.3,24,821.3,38,0,0
01/01/2015, 05:00:00,9.6,5.7,41,821.2,40,0,0
01/01/2015, 05:15:00,9.7,4.8,24,821.4,39,0,0
01/01/2015, 05:30:00,9.6,5.3,19,821.5,39,0,0
01/01/2015, 05:45:00,9.3,6.4,24,821.1,40,0,0
01/01/2015, 06:00:00,10.1,4.8,75,821.4,35,0,0
01/01/2015, 06:15:00,9.3,4.6,11,821.5,37,0,0
01/01/2015, 06:30:00,9.8,5,28,821.5,34,0,0
01/01/2015, 06:45:00,9.7,5.2,19,821.8,33,0,0
01/01/2015, 07:00:00,9.8,5.1,50,821.8,30,0,0
01/01/2015, 07:15:00,9.3,5.1,7,822,32,0,0
01/01/2015, 07:30:00,9.3,5,40,821.9,31,0,11
01/01/2015, 07:45:00,9.8,6.2,42,822,30,0,33
01/01/2015, 08:00:00,10.5,8.4,78,822.3,29,0,46
01/01/2015, 08:15:00,9.9,5.3,25,822.6,35,0,54
01/01/2015, 08:30:00,10.4,5.4,37,822.8,35,0,79
01/01/2015, 08:45:00,10.9,5.1,19,823.1,36,0,110
01/01/2015, 09:00:00,10.8,5.4,47,823.3,38,0,162
01/01/2015, 09:15:00,10.8,6,17,823.3,40,0,150
01/01/2015, 09:30:00,12.8,5.3,52,823.4,40,0,252
01/01/2015, 09:45:00,11.9,5.1,32,823.5,42,0,240
01/01/2015, 10:00:00,11.3,5,47,823.8,43,0,210
01/01/2015, 10:15:00,11.7,5.3,16,823.9,40,0,286
01/01/2015, 10:30:00,11.6,6.3,15,823.9,40,0,213
01/01/2015, 10:45:00,12,5,13,823.8,41,0,311
01/01/2015, 11:00:00,13.1,4.2,65,823.8,41,0,324
01/01/2015, 11:15:00,13.2,3.9,44,823.7,42,0,506
01/01/2015, 11:30:00,12.5,5.7,51,823.5,40,0,289
01/01/2015, 11:45:00,12.1,5.6,47,823.2,42,0,221
01/01/2015, 12:00:00,12.1,5.6,9,823.2,45,0,209
01/01/2015, 12:15:00,12.3,5.2,36,823,41,0,245
01/01/2015, 12:30:00,13,3.6,15,822.9,44,0,321
01/01/2015, 12:45:00,12.9,3.3,39,822.9,47,0,261
01/01/2015, 13:00:00,13.4,3.9,39,822.8,45,0,255
01/01/2015, 13:15:00,12.5,5.7,19,822.7,47,0,262
01/01/2015, 13:30:00,12.2,3.3,41,822.4,48,0,286
01/01/2015, 13:45:00,12.6,3.7,22,822.5,50,0,237
01/01/2015, 14:00:00,11.3,7.2,60,822.4,51,0,179
01/01/2015, 14:15:00,11.2,3.7,22,822.2,54,0,136
01/01/2015, 14:30:00,11.6,3.8,47,822.1,54,0,204
01/01/2015, 14:45:00,13.1,4.6,58,822.1,50,0,631
01/01/2015, 15:00:00,11.4,3.3,27,822.1,55,0,184
01/01/2015, 15:15:00,11.4,5.3,66,822,56,0,219
01/01/2015, 15:30:00,11,4.4,24,821.9,55,0,123
01/01/2015, 15:45:00,11.1,4.7,11,822,56,0,172
01/01/2015, 16:00:00,10.9,3,35,822,55,0,120
01/01/2015, 16:15:00,10.3,3.8,43,821.9,57,0,62
01/01/2015, 16:30:00,8.8,6.1,33,821.7,65,0,42
01/01/2015, 16:45:00,9.8,3.8,103,821.9,59,0,38
01/01/2015, 17:00:00,9.5,5.6,56,821.8,57,0,18
01/01/2015, 17:15:00,9.1,5,37,821.7,58,0,1
01/01/2015, 17:30:00,9.2,4.9,46,821.7,57,0,0
01/01/2015, 17:45:00,9.6,4.7,60,821.9,54,0,0
01/01/2015, 18:00:00,8.9,4.7,36,821.7,59,0,0
01/01/2015, 18:15:00,8.8,5,24,821.9,59,0,0
01/01/2015, 18:30:00,9,5.1,39,821.8,58,0,0
01/01/2015, 18:45:00,9.4,3.7,39,822,57,0,0
01/01/2015, 19:00:00,8.9,5.3,28,821.8,59,0,0
01/01/2015, 19:15:00,8.4,3.3,15,821.8,61,0,0
01/01/2015, 19:30:00,8.5,4.4,16,821.9,61,0,0
01/01/2015, 19:45:00,8.8,3.6,324,822.1,60,0,0
01/01/2015, 20:00:00,8.9,2.7,2,822.2,58,0,0
01/01/2015, 20:15:00,8.5,1.1,25,822.5,61,0,0
01/01/2015, 20:30:00,8.5,3.3,353,822.7,61,0,0
01/01/2015, 20:45:00,8,4.7,21,822.7,64,0,0
01/01/2015, 21:00:00,7.8,3.9,6,822.6,65,0,0
01/01/2015, 21:15:00,8,3.8,17,822.6,64,0,0
01/01/2015, 21:30:00,9,5.3,28,822.5,60,0,0
01/01/2015, 21:45:00,10,7.2,45,822.6,55,0,0
01/01/2015, 22:00:00,10.2,5.9,37,822.9,56,0,0
01/01/2015, 22:15:00,10.4,5.8,28,822.8,55,0,0
01/01/2015, 22:30:00,10.6,5.4,33,823,55,0,0
01/01/2015, 22:45:00,10.5,5.5,22,822.9,57,0,0
01/01/2015, 23:00:00,10.4,5.4,52,822.8,57,0,0
01/01/2015, 23:15:00,10.3,4.6,14,822.9,57,0,0
01/01/2015, 23:30:00,9.9,4.7,39,822.8,58,0,0
01/01/2015, 23:45:00,9.4,6.1,29,822.7,59,0,0
01/02/2015, 00:00:00,10.2,5.9,32,822.8,58,0,0
01/02/2015, 00:15:00,10,5.2,59,822.7,60,0,0
01/02/2015, 00:30:00,9.8,5,68,822.5,64,0,0
01/02/2015, 00:45:00,9.9,5.6,35,822.5,63,0,0
01/02/2015, 01:00:00,9.9,5.8,73,822.3,63,0,0
01/02/2015, 01:15:00,10,6.8,52,822.4,62,0,0
01/02/2015, 01:30:00,9.9,4.5,43,822.3,62,0,0
01/02/2015, 01:45:00,9.5,7,51,822.3,63,0,0
01/02/2015, 02:00:00,9.3,5.5,39,822.1,65,0,0
01/02/2015, 02:15:00,9.7,4.4,66,822.2,63,0,0
01/02/2015, 02:30:00,9.1,5.2,101,822.1,64,0,0
01/02/2015, 02:45:00,8.7,3.4,103,822.1,65,0,0
01/02/2015, 03:00:00,8.1,4.5,17,821.8,68,0,0
01/02/2015, 03:15:00,7.3,4.5,24,821.6,77,0,0
01/02/2015, 03:30:00,7.3,3.7,11,821.3,77,0,0
01/02/2015, 03:45:00,8.1,4,22,821.1,75,0,0
01/02/2015, 04:00:00,8.5,4.8,14,821,73,0,0
01/02/2015, 04:15:00,8.5,5.7,25,821,73,0,0
01/02/2015, 04:30:00,8.8,5.1,22,821,74,0,0
01/02/2015, 04:45:00,8.7,4.4,22,821,77,0,0
01/02/2015, 05:00:00,8.7,4.1,14,820.9,79,0,0
01/02/2015, 05:15:00,7.9,3.6,10,820.9,84,0,0
01/02/2015, 05:30:00,7.3,2.6,30,821,94,0,0
01/02/2015, 05:45:00,7.5,3.9,6,821,97,0,0
01/02/2015, 06:00:00,7.6,3.9,2,821.1,98,0.5,0
01/02/2015, 06:15:00,7.5,3,2,821.2,99,0.5,0
01/02/2015, 06:30:00,7.4,3.8,2,821.2,99,0.5,0
01/02/2015, 06:45:00,7.5,3.2,36,821.3,99,1,0
