Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Sol Rad
 01/01/23, 00:00:00,5.2,3.8,4,821.3,50,0,0
 01/01/23, 00:15:00,5,4.6,7,821.2,50,0,0
 01/01/23, 00:30:00,5.1,4,359,821.1,57,0,0
 01/01/23, 00:45:00,5.3,3.4,356,821.1,56,0,0
 01/01/23, 01:00:00,5.2,2.6,355,821,54,0,0
 01/01/23, 01:15:00,5.1,3.6,349,821,53,0,0
 01/01/23, 01:30:00,5.1,3.5,350,821,53,0,0
 01/01/23, 01:45:00,5.2,3.3,348,821.1,51,0,0
 01/01/23, 02:00:00,5.3,3.5,347,821.1,51,0,0
 01/01/23, 02:15:00,5.1,2.8,320,821,52,0,0
 01/01/23, 02:30:00,4.9,5.2,14,820.8,53,0,0
 01/01/23, 02:45:00,4.7,5.1,4,820.7,54,0,0
 01/01/23, 03:00:00,4.5,5.3,359,820.6,56,0,0
 01/01/23, 03:15:00,4.5,4.9,4,820.5,53,0,0
 01/01/23, 03:30:00,4.8,4.3,6,820.3,54,0,0
 01/01/23, 03:45:00,4.8,3.6,357,820.3,52,0,0
 01/01/23, 04:00:00,4.5,3.5,359,820.2,51,0,0
 01/01/23, 04:15:00,4.4,3.9,7,820.1,54,0,0
 01/01/23, 04:30:00,4.4,4.4,10,820,54,0,0
 01/01/23, 04:45:00,4.1,4.5,9,820,58,0,0
 01/01/23, 05:00:00,4,4.6,7,820.1,58,0,0
 01/01/23, 05:15:00,4,4.2,6,820.1,58,0,0
 01/01/23, 05:30:00,4.1,3.4,355,820.3,58,0,0
 01/01/23, 05:45:00,4,4.1,4,820.4,57,0,0
 01/01/23, 06:00:00,4,3.3,347,820.7,58,0,0
 01/01/23, 06:15:00,3.9,4,6,820.8,57,0,0
 01/01/23, 06:30:00,3.7,3.8,7,821,59,0,0
 01/01/23, 06:45:00,3.9,4,349,821.2,57,0,0
 01/01/23, 07:00:00,3.8,3.8,2,821.3,60,0,0
 01/01/23, 07:15:00,3.6,4.4,5,821.4,61,0,0
 01/01/23, 07:30:00,3.6,3.9,4,821.6,63,0,42
 01/01/23, 07:45:00,4.5,3.1,22,821.9,61,0,82
 01/01/23, 08:00:00,5.7,1.2,29,822.1,59,0,127
 01/01/23, 08:15:00,6.7,1.3,76,822.6,57,0,73
 01/01/23, 08:30:00,6.6,0.7,76,822.8,54,0,99
 01/01/23, 08:45:00,5.5,0.9,52,822.8,63,0,203
 01/01/23, 09:00:00,7.5,0.8,84,823.1,56,0,223
 01/01/23, 09:15:00,7.9,1.2,131,823.4,60,0,254
 01/01/23, 09:30:00,9,1.5,149,823.3,60,0,280
 01/01/23, 09:45:00,8,1.7,46,823.6,63,0,307
 01/01/23, 10:00:00,8.1,2.1,98,823.7,66,0,331
 01/01/23, 10:15:00,8.8,1.4,153,823.5,64,0,273
 01/01/23, 10:30:00,8.9,2,111,823.8,62,0,379
 01/01/23, 10:45:00,9.2,2.1,6,823.8,61,0,392
 01/01/23, 11:00:00,9.5,1.8,177,823.7,60,0,402
 01/01/23, 11:15:00,9.8,1.5,46,823.7,58,0,413
 01/01/23, 11:30:00,10.1,2.3,97,823.6,59,0,434
 01/01/23, 11:45:00,9.7,2,142,823.5,61,0,423
 01/01/23, 12:00:00,10.2,2.1,175,823.5,59,0,283
 01/01/23, 12:15:00,9.9,1.9,158,823.5,62,0,377
 01/01/23, 12:30:00,9.1,1,274,823.3,70,0,354
 01/01/23, 12:45:00,9.4,1.4,184,823.1,71,0,481
 01/01/23, 13:00:00,9.6,1.6,98,822.8,73,0,449
 01/01/23, 13:15:00,8.4,1.3,120,822.6,79,0,451
 01/01/23, 13:30:00,9.2,1.6,140,822.5,77,0,282
 01/01/23, 13:45:00,8.8,1.6,202,822.4,75,0,395
 01/01/23, 14:00:00,8.3,2.4,191,822.4,79,0,215
 01/01/23, 14:15:00,8,2,165,822.2,78,0,215
 01/01/23, 14:30:00,7.3,1.1,121,822.1,81,0,151
 01/01/23, 14:45:00,7.6,1.2,124,822.1,70,0,359
 01/01/23, 15:00:00,7.5,1.2,193,822.2,71,0,126
