Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Rain Hourly
31/12/2020,19:00:00,10.7,0,359,807.9,17,0,0
31/12/2020,19:15:00,10.5,0,359,808,17,0,0
31/12/2020,19:30:00,10.9,0,359,808,16,0,0
31/12/2020,19:45:00,10.9,0,359,808,16,0,0
31/12/2020,20:00:00,10.8,0,359,807.7,16,0,0
31/12/2020,20:15:00,10.7,0,359,807.7,15,0,0
31/12/2020,20:30:00,10.7,0,359,807.5,14,0,0
31/12/2020,20:45:00,10.4,0,359,807.5,13,0,0
31/12/2020,21:00:00,10.5,0,359,807.6,13,0,0
31/12/2020,21:15:00,10.5,0,359,807.6,11,0,0
31/12/2020,21:30:00,10.7,0,359,807.5,9,0,0
31/12/2020,21:45:00,10.2,0,359,807.5,9,0,0
31/12/2020,22:00:00,9.8,0,359,807.5,10,0,0
31/12/2020,22:15:00,9.6,0,359,807.2,12,0,0
31/12/2020,22:30:00,10.1,0,359,807.2,10,0,0
31/12/2020,22:45:00,10,0,359,807.2,11,0,0
31/12/2020,23:00:00,9.7,0,359,807.1,11,0,0
31/12/2020,23:15:00,9.8,0,359,807.1,10,0,0
31/12/2020,23:30:00,10.3,0,359,807.2,6,0,0
31/12/2020,23:45:00,9.8,0,359,807.2,1,0,0
01/01/2021,0:00:00,9.4,0,359,807.3,2,0,0
01/01/2021,0:15:00,9.4,0,359,807.3,1,0,0
01/01/2021,0:30:00,9.4,0,359,807.4,0,0,0
01/01/2021,0:45:00,9.8,0,359,807.5,0,0,0
01/01/2021,1:00:00,10.4,0,359,807.6,4,0,0
01/01/2021,1:15:00,10.1,0,359,807.8,5,0,0
01/01/2021,1:30:00,10.3,0,359,808,9,0,0
01/01/2021,1:45:00,10.3,0,359,808.1,9,0,0
01/01/2021,2:00:00,11,0,359,808.2,6,0,0
01/01/2021,2:15:00,12.5,0,359,808.4,9,0,0
01/01/2021,2:30:00,12.8,0,359,808.6,8,0,0
01/01/2021,2:45:00,12.9,0,359,808.8,8,0,0
01/01/2021,3:00:00,13.3,0,359,808.9,9,0,0
01/01/2021,3:15:00,14.1,0,359,809.3,9,0,0
01/01/2021,3:30:00,14.6,0,359,809.6,10,0,0
01/01/2021,3:45:00,15.2,0,359,809.8,10,0,0
01/01/2021,4:00:00,16,0,359,810,10,0,0
01/01/2021,4:15:00,16.3,0,359,810.1,13,0,0
01/01/2021,05:00:00,14.8,0,359,810.1,14,0,0
01/01/2021,05:15:00,15.5,0,359,810,15,0,0
01/01/2021,05:30:00,15.9,0,359,809.9,13,0,0
01/01/2021,05:45:00,16.5,0,359,809.8,16,0,0
01/01/2021,06:00:00,16.1,0,359,809.7,17,0,0
01/01/2021,06:15:00,14.9,0,359,809.7,18,0,0
01/01/2021,06:30:00,14.5,0,359,809.5,19,0,0
01/01/2021,06:45:00,14,0,359,809.3,18,0,0
01/01/2021,07:00:00,12.8,0,359,809.1,16,0,0
01/01/2021,07:15:00,13.4,0,359,808.9,14,0,0
01/01/2021,07:30:00,12.7,0,359,808.7,10,0,0
01/01/2021,07:45:00,13.7,0,359,808.7,8,0,0
01/01/2021,08:00:00,17.3,0,359,808.6,13,0,0
01/01/2021,08:15:00,16.7,0,359,808.4,15,0,0
01/01/2021,08:30:00,15.4,0,359,808.1,19,0,0
01/01/2021,08:45:00,16.1,0,359,808.1,23,0,0
01/01/2021,09:00:00,16.5,0,359,807.9,24,0,0
01/01/2021,09:15:00,15.2,0,359,808,32,0,0
01/01/2021,09:30:00,16,0,359,807.9,32,0,0
01/01/2021,09:45:00,16.3,0,359,807.9,34,0,0
01/01/2021,10:00:00,15.7,0,359,807.8,33,0,0
01/01/2021,10:15:00,14.8,0,359,807.7,31,0,0
01/01/2021,10:30:00,13.3,0,359,807.6,33,0,0
01/01/2021,10:45:00,14,0,359,807.5,29,0,0
01/01/2021,11:00:00,13.8,0,359,807.5,26,0,0
01/01/2021,11:15:00,11.6,0,359,807.5,41,0,0
01/01/2021,11:30:00,10.2,0,359,807.6,51,0,0
01/01/2021,11:45:00,9.4,0,359,807.3,53,0,0
01/01/2021,12:00:00,9.1,0,359,807.4,49,0,0
01/01/2021,12:15:00,9.8,0,359,807.4,7,0,0
01/01/2021,12:30:00,9.8,0,359,807.4,7,0,0
01/01/2021,12:45:00,9.3,0,359,807.6,13,0,0
01/01/2021,13:00:00,8.9,0,359,807.6,18,0,0
01/01/2021,13:15:00,9.1,0,359,807.7,3,0,0
01/01/2021,13:30:00,10.7,0,359,807.7,4,0,0
