Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Sol Rad
 01/01/20, 00:00:00,3.5,6.5,----,822.1,31,0,1.8
 01/01/20, 00:15:00,3.5,0,----,822.1,34,0,2.4
 01/01/20, 00:30:00,3.5,0,----,822,33,0,1.4
 01/01/20, 00:45:00,3.4,0,----,822,36,0,2.1
 01/01/20, 01:00:00,3.6,0,----,822,37,0,3
 01/01/20, 01:15:00,3.9,0,----,822,37,0,3.2
 01/01/20, 01:30:00,3.6,0,----,822,39,0,5.4
 01/01/20, 01:45:00,3.6,0,----,822,41,0,1.4
 01/01/20, 02:00:00,3.8,0,----,821.8,41,0,2.9
 01/01/20, 02:15:00,3.8,0,----,821.7,42,0,1.4
 01/01/20, 02:30:00,3.8,0,----,821.6,43,0,1
 01/01/20, 02:45:00,3.8,0,----,821.5,44,0,1.6
 01/01/20, 03:00:00,3.6,0,----,821.6,46,0,2.1
 01/01/20, 03:15:00,3.6,0,----,821.5,46,0,2.4
 01/01/20, 03:30:00,3.4,0,----,821.5,47,0,0.9
 01/01/20, 03:45:00,3.4,0,----,821.5,49,0,1.5
 01/01/20, 04:00:00,3.5,0,----,821.6,48,0,1.8
 01/01/20, 04:15:00,3.4,0,----,821.7,47,0,2.5
 01/01/20, 04:30:00,3.5,0,----,821.7,48,0,4.5
 01/01/20, 04:45:00,3.5,0,----,821.6,49,0,2
 01/01/20, 05:00:00,3.5,0,----,821.7,49,0,2.1
 01/01/20, 05:15:00,3.4,0,----,821.8,50,0,1.8
 01/01/20, 05:30:00,3.3,0,----,821.8,50,0,2.6
 01/01/20, 05:45:00,3.4,0,----,822.1,51,0,3.2
 01/01/20, 06:00:00,3.3,0,----,822.3,51,0,2.3
 01/01/20, 06:15:00,3.3,0,----,822.6,52,0,2.6
 01/01/20, 06:30:00,3.3,0,----,822.7,52,0,2.8
 01/01/20, 06:45:00,3.3,0,----,822.8,53,0,1.8
 01/01/20, 07:00:00,3.1,0,----,822.9,55,0,0.6
 01/01/20, 07:15:00,3.2,0,----,823,55,0,2.1
 01/01/20, 07:30:00,3.2,0,----,823,55,0,2.9
 01/01/20, 07:45:00,3.4,0,----,823.3,57,0.04,3.3
 01/01/20, 08:00:00,4,0,----,823.7,56,0.21,1.7
 01/01/20, 08:15:00,4.6,0,----,824.1,56,0.15,2.1
 01/01/20, 08:30:00,4.7,0,----,824.5,56,0.37,2.2
 01/01/20, 08:45:00,5.2,0,----,824.8,56,1.11,1.7
 01/01/20, 09:00:00,6.6,0,----,825.1,54,1.6,2.6
 01/01/20, 09:15:00,6.3,0,----,825.3,55,0.19,2.9
 01/01/20, 09:30:00,5.6,0,----,825.5,60,1.03,3.7
 01/01/20, 09:45:00,5.6,0,----,825.8,63,1.08,2.9
 01/01/20, 10:00:00,6.7,0,----,825.8,62,0.73,2.4
 01/01/20, 10:15:00,7.6,0,----,825.9,61,0.38,3.4
 01/01/20, 10:30:00,7.6,0,----,826,58,0.3,6.6
 01/01/20, 10:45:00,8.2,0,----,826.1,60,0.26,3.9
 01/01/20, 11:00:00,8.2,0,----,826.1,61,0.26,3
 01/01/20, 11:15:00,8.3,0,----,826,59,0.16,5.5
 01/01/20, 11:30:00,8.7,0,----,826,57,0.16,4.6
 01/01/20, 11:45:00,9.4,0,----,825.9,56,0.33,2.6
 01/01/20, 12:00:00,9.6,0,----,825.8,54,7.21,4
 01/01/20, 12:15:00,9.1,0,----,825.6,57,8.1,4.9
 01/01/20, 12:30:00,9.6,0,----,825.4,55,6.04,3.3
 01/01/20, 12:45:00,10,0,----,825.1,53,7.39,3.9
 01/01/20, 13:00:00,9.8,0,----,825,54,6.11,3.2
 01/01/20, 13:15:00,9.7,0,----,824.9,55,6.86,3.7
 01/01/20, 13:30:00,9.6,0,----,824.8,54,4.48,5.3
 01/01/20, 13:45:00,9.1,0,----,824.7,55,5.32,5.2
 01/01/20, 14:00:00,8.8,0,----,824.5,56,4.62,4.6
 01/01/20, 14:15:00,8.4,0,----,824.4,59,4.03,4
 01/01/20, 14:30:00,8.2,0,----,824.4,60,3.32,5.5
 01/01/20, 14:45:00,8.1,0,----,824.3,59,2.64,2.1
 01/01/20, 15:00:00,7.8,0,----,824.2,60,1.41,2.8
 01/01/20, 15:15:00,7.3,0,----,824.3,58,1.09,5.4
 01/01/20, 15:30:00,6.8,0,----,824.4,61,0.6,4.5
 01/01/20, 15:45:00,6.6,0,----,824.2,64,0.43,3.5
 01/01/20, 16:00:00,6.4,0,----,824.2,65,0.26,2.5
 01/01/20, 16:15:00,6.2,0,----,824.1,64,0.18,3.4
 01/01/20, 16:30:00,5.9,0,----,824.2,69,0.06,1.5
 01/01/20, 16:45:00,5.8,0,----,824.3,71,0.02,2.3
 01/01/20, 17:00:00,5.5,0,----,824.2,73,0.01,1.8
 01/01/20, 17:15:00,5.3,0,----,824.2,75,0,1.1
 01/01/20, 17:30:00,5.1,0,----,824.2,76,0,1
 01/01/20, 17:45:00,5.1,0,----,824.1,74,0,2.2
 01/01/20, 18:00:00,5.3,0,----,824.3,73,0,1
 01/01/20, 18:15:00,5.3,0,----,824.3,74,0,2.9
 01/01/20, 18:30:00,5.3,0,----,824.4,73,0,2.9
 01/01/20, 18:45:00,5.4,0,----,824.6,74,0,1.3
 01/01/20, 19:00:00,5.3,0,----,824.6,74,0,1.7
 01/01/20, 19:15:00,5.2,0,----,824.6,73,0,3
 01/01/20, 19:30:00,5.2,0,----,824.8,73,0,1.6
 01/01/20, 19:45:00,5.3,0,----,825,71,0,2.3
 01/01/20, 20:00:00,5.3,0,----,825.1,71,0,1.6
 01/01/20, 20:15:00,5.3,0,----,825.3,71,0,2.3
 01/01/20, 20:30:00,5.3,0,----,825.3,72,0,1.6
 01/01/20, 20:45:00,5.1,0,----,825.3,73,0,0.9
 01/01/20, 21:00:00,5,0,----,825.4,74,0,1.6
 01/01/20, 21:15:00,5.1,0,----,825.6,74,0,1.8
 01/01/20, 21:30:00,5.2,0,----,825.7,74,0,1.1
 01/01/20, 21:45:00,5.2,0,----,825.5,74,0,1.5
 01/01/20, 22:00:00,5.1,0,----,825.6,74,0,1.9
 01/01/20, 22:15:00,5,0,----,825.7,75,0,1
 01/01/20, 22:30:00,5,0,----,825.6,75,0,0.9
 01/01/20, 22:45:00,4.9,0,----,825.6,76,0,1.5
 01/01/20, 23:00:00,4.8,0,----,825.6,76,0,0.8
 01/01/20, 23:15:00,4.7,0,----,825.4,76,0,1.2
 01/01/20, 23:30:00,4.9,0,----,825.4,74,0,1.3
 01/01/20, 23:45:00,4.8,0,----,825.2,73,0,1.5
 02/01/20, 00:00:00,4.9,0,----,825.4,71,0,2.9
 02/01/20, 00:15:00,5,0,----,825.1,71,0,0.7
 02/01/20, 00:30:00,4.8,0,----,825.1,70,0,0.9
 02/01/20, 00:45:00,4.6,0,----,824.9,70,0,0.9
 02/01/20, 01:00:00,4.3,0,----,824.8,72,0,1.2
 02/01/20, 01:15:00,4.3,0,----,824.8,72,0,1.7
 02/01/20, 01:30:00,4.3,0,----,824.7,72,0,2.8
 02/01/20, 01:45:00,4.5,0,----,824.7,71,0,1.5
 02/01/20, 02:00:00,4.4,0,----,824.5,72,0,1.7
 02/01/20, 02:15:00,4.7,0,----,824.5,70,0,3
 02/01/20, 02:30:00,4.6,0,----,824.4,71,0,1.9
 02/01/20, 02:45:00,4.8,0,----,824.4,70,0,0.8
 02/01/20, 03:00:00,4.6,0,----,824.3,71,0,2.4
 02/01/20, 03:15:00,4.8,0,----,824.2,70,0,0.9
 02/01/20, 03:30:00,4.7,0,----,824.1,70,0,2.4
 02/01/20, 03:45:00,4.8,0,----,824,71,0,1.1
 02/01/20, 04:00:00,4.8,0,----,823.9,71,0,1.3
 02/01/20, 04:15:00,4.5,0,----,823.9,72,0,1.3
 02/01/20, 04:30:00,4.6,0,----,823.8,73,0,1.9
 02/01/20, 04:45:00,4.6,0,----,823.8,73,0,1.8
 02/01/20, 05:00:00,4.7,0,----,823.8,74,0,2.1
 02/01/20, 05:15:00,4.6,0,----,823.8,72,0,1.7
 02/01/20, 05:30:00,4.7,0,----,823.7,72,0,1.9
 02/01/20, 05:45:00,4.7,0,----,823.9,71,0,1.2
 02/01/20, 06:00:00,4.6,0,----,824.1,71,0,1.6
 02/01/20, 06:15:00,4.7,0,----,824.3,69,0,1.2
 02/01/20, 06:30:00,5,0,----,824.4,69,0,1.2
 02/01/20, 06:45:00,5,0,----,824.6,68,0,1.6
 02/01/20, 07:00:00,4.8,0,----,824.8,69,0,2.5
 02/01/20, 07:15:00,4.8,0,----,824.8,69,0,1.6
 02/01/20, 07:30:00,4.8,0,----,824.9,69,0,2.5
 02/01/20, 07:45:00,4.7,0,----,825.1,70,0.01,3.5
 02/01/20, 08:00:00,5,0,----,825.3,70,0.01,0.8
 02/01/20, 08:15:00,5.1,0,----,825.7,70,0.02,1
 02/01/20, 08:30:00,3.9,0,----,825.8,84,0.03,2.7
 02/01/20, 08:45:00,3.8,0,----,825.8,85,0.07,1.7
 02/01/20, 09:00:00,4.3,0,----,826.1,82,0.1,1.1
 02/01/20, 09:15:00,4.7,0,----,826.2,80,0.21,0.7
 02/01/20, 09:30:00,5.2,0,----,826.4,77,0.37,1.8
 02/01/20, 09:45:00,5.9,0,----,826.6,76,0.46,1.4
 02/01/20, 10:00:00,6.3,0,----,826.6,72,0.81,2
 02/01/20, 10:15:00,7,0,----,826.7,72,0.75,2.1
 02/01/20, 10:30:00,7.2,0,----,826.6,70,0.9,1.4
 02/01/20, 10:45:00,7.4,0,----,826.4,69,0.98,5.3
 02/01/20, 11:00:00,7.2,0,----,826.4,71,0.85,2.3
 02/01/20, 11:15:00,7,0,----,826.1,70,1.12,1.9
 02/01/20, 11:30:00,7.1,0,----,826,71,1.53,3.3
 02/01/20, 11:45:00,7.5,0,----,826,69,1.17,3.4
 02/01/20, 12:00:00,7.4,0,----,825.8,71,0.45,2.6
 02/01/20, 12:15:00,6.7,0,----,825.7,69,0.95,1.7
 02/01/20, 12:30:00,7.2,0,----,825.5,72,1.01,1
 02/01/20, 12:45:00,7.7,0,----,825.2,68,1.19,1.4
 02/01/20, 13:00:00,7.6,0,----,824.9,68,0.94,1.2
 02/01/20, 13:15:00,7.2,0,----,824.8,70,1.04,1.8
 02/01/20, 13:30:00,7.4,0,----,824.4,68,0.9,1.1
 02/01/20, 13:45:00,7.5,0,----,824.3,70,0.33,1.6
 02/01/20, 14:00:00,7,0,----,824.1,71,0.21,1.7
 02/01/20, 14:15:00,6.7,0,----,824,74,1.01,1.1
 02/01/20, 14:30:00,7.1,0,----,823.9,67,0.65,3.1
 02/01/20, 14:45:00,7.6,0,----,823.8,69,1.35,1.7
 02/01/20, 15:00:00,7,0,----,823.6,70,0.21,1.6
 02/01/20, 15:15:00,6.8,0,----,823.7,71,0.33,1
 02/01/20, 15:30:00,6.4,0,----,823.7,72,0.23,1.3
 02/01/20, 15:45:00,6.4,0,----,823.6,71,0.34,1.2
 02/01/20, 16:00:00,6.1,0,----,823.6,71,0.04,4.2
 02/01/20, 16:15:00,5.8,0,----,823.6,73,0.09,1.3
 02/01/20, 16:30:00,5.6,0,----,823.5,74,0.04,1.8
 02/01/20, 16:45:00,5.5,0,----,823.5,74,0.03,0.8
 02/01/20, 17:00:00,5.4,0,----,823.5,74,0.01,1.4
 02/01/20, 17:15:00,5.2,0,----,823.4,74,0,0.6
 02/01/20, 17:30:00,4.9,0,----,823.4,76,0,2.2
 02/01/20, 17:45:00,4.7,0,----,823.5,77,0,1.4
 02/01/20, 18:00:00,4.8,0,----,823.5,77,0,1
 02/01/20, 18:15:00,4.9,0,----,823.6,77,0,1.3
 02/01/20, 18:30:00,4.8,0,----,823.7,78,0,0.9
 02/01/20, 18:45:00,4.6,0,----,823.6,79,0,2.5
 02/01/20, 19:00:00,4.6,0,----,823.7,79,0,1.9
 02/01/20, 19:15:00,4.6,0,----,823.7,79,0,1.7
 02/01/20, 19:30:00,4.6,0,----,823.8,79,0,0.8
 02/01/20, 19:45:00,4.6,0,----,823.7,79,0,1.8
 02/01/20, 20:00:00,4.3,0,----,823.7,80,0,1.4
 02/01/20, 20:15:00,4.3,0,----,823.8,80,0,1.9
 02/01/20, 20:30:00,4.4,0,----,823.7,79,0,1.5
 02/01/20, 20:45:00,4.3,0,----,823.7,79,0,0.8
 02/01/20, 21:00:00,4.4,0,----,823.8,79,0,0.9
 02/01/20, 21:15:00,4.6,0,----,823.8,79,0,1.8
 02/01/20, 21:30:00,4.7,0,----,824,79,0,2.3
 02/01/20, 21:45:00,4,0,----,823.7,87,0,1.2
 02/01/20, 22:00:00,3.7,0,----,823.7,87,0,2.5
 02/01/20, 22:15:00,3.8,0,----,823.8,85,0,1.7
 02/01/20, 22:30:00,3.5,0,----,823.8,89,0,3.8
 02/01/20, 22:45:00,3,0,----,823.5,89,0,6.5
 02/01/20, 23:00:00,4,0,----,823.4,80,0,4.6
 02/01/20, 23:15:00,4.1,0,----,823.3,86,0,4.6
 02/01/20, 23:30:00,3.6,0,----,823.2,84,0,0.4
 02/01/20, 23:45:00,4.1,0,----,823.3,81,0,0.7
 03/01/20, 00:00:00,3.9,0,----,822.9,87,0,2.5
 03/01/20, 00:15:00,3.2,0,----,822.9,89,0,5.5
 03/01/20, 00:30:00,4.2,0,----,822.9,80,0,1.4
 03/01/20, 00:45:00,4,0,----,822.9,83,0,1.8
 03/01/20, 01:00:00,3.9,0,----,823,82,0,1.1
 03/01/20, 01:15:00,3.8,0,----,822.8,82,0,0.8
 03/01/20, 01:30:00,3.5,0,----,822.8,88,0,0.5
 03/01/20, 01:45:00,3.7,0,----,822.9,82,0,1.1
 03/01/20, 02:00:00,3.3,0,----,822.5,87,0,1.6
 03/01/20, 02:15:00,2.6,0,----,821.9,88,0,8.1
 03/01/20, 02:30:00,4,0,----,821.9,78,0,1.2
 03/01/20, 02:45:00,4.2,0,----,821.8,81,0,0.8
 03/01/20, 03:00:00,4,0,----,821.7,76,0,1.1
 03/01/20, 03:15:00,4.5,0,----,821.6,74,0,0.5
 03/01/20, 03:30:00,3.8,0,----,821.4,82,0,2.2
 03/01/20, 03:45:00,3.2,0,----,821.3,82,0,3.1
 03/01/20, 04:00:00,3.9,0,----,821.1,77,0,1.5
 03/01/20, 04:15:00,4,0,----,820.8,75,0,0.9
 03/01/20, 04:30:00,3.7,0,----,820.7,79,0,0.1
 03/01/20, 04:45:00,3.1,0,----,820.6,81,0,2.8
 03/01/20, 05:00:00,3,0,----,820.6,81,0,3.9
 03/01/20, 05:15:00,3.1,0,----,820.6,80,0,1.7
 03/01/20, 05:30:00,3.4,0,----,820.6,78,0,1.7
 03/01/20, 05:45:00,3.9,0,----,820.6,76,0,0.6
 03/01/20, 06:00:00,3.7,0,----,820.7,77,0,0.8
 03/01/20, 06:15:00,3.8,0,----,820.9,77,0,1.6
 03/01/20, 06:30:00,3.5,0,----,821,81,0,1.4
 03/01/20, 06:45:00,3.1,0,----,821,83,0,1
 03/01/20, 07:00:00,2.9,0,----,821.2,83,0,1.1
 03/01/20, 07:15:00,3,0,----,821.2,82,0,1.5
 03/01/20, 07:30:00,2.9,0,----,821.2,84,0.02,1.6
 03/01/20, 07:45:00,3.6,0,----,821.3,80,0.07,1.2
 03/01/20, 08:00:00,3.8,0,----,821.6,81,0.19,1.6
 03/01/20, 08:15:00,4.5,0,----,821.9,82,0.34,1.3
 03/01/20, 08:30:00,5.1,0,----,822,77,0.58,1.1
 03/01/20, 08:45:00,6,0,----,822.4,78,0.88,0.9
 03/01/20, 09:00:00,6.3,0,----,822.7,78,1.65,1.5
 03/01/20, 09:15:00,6.7,0,----,823,79,2.24,1.7
 03/01/20, 09:30:00,7.4,0,----,823.2,77,1.34,1.9
 03/01/20, 09:45:00,6.4,0,----,823.4,76,0.54,1.6
 03/01/20, 10:00:00,5.3,0,----,823.4,81,0.18,1
 03/01/20, 10:15:00,5.2,0,----,823.4,86,0.5,1.7
 03/01/20, 10:30:00,6.3,0,----,823.2,81,0.91,1.6
 03/01/20, 10:45:00,5.9,0,----,823.2,85,0.7,1.9
 03/01/20, 11:00:00,5.9,0,----,823,86,1.62,1.1
 03/01/20, 11:15:00,5.4,0,----,822.8,88,0.13,0.9
 03/01/20, 11:30:00,5.4,0,----,822.5,88,0.14,1.3
 03/01/20, 11:45:00,5.5,0,----,822.1,89,0.58,1.6
 03/01/20, 12:00:00,7.7,0,----,821.8,83,9.72,1.7
 03/01/20, 12:15:00,6.5,0,----,821.6,83,1.02,1.2
