Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Rain Hourly
31/12/2018,19:00:00,11.3,0,359,810,61,0,0
31/12/2018,19:15:00,10.8,0,359,809.9,65,0,0
31/12/2018,19:30:00,10.7,0,359,809.8,65,0,0
31/12/2018,19:45:00,10.7,0,359,809.7,64,0,0
31/12/2018,20:00:00,10.5,0,359,809.7,65,0,0
31/12/2018,20:15:00,10.1,0,359,809.7,71,0,0
31/12/2018,20:30:00,9.9,0,359,809.7,74,0,0
31/12/2018,20:45:00,10.1,0,359,809.7,74,0,0
31/12/2018,21:00:00,10,0,359,809.7,73,0,0
31/12/2018,21:15:00,10.4,0,359,809.7,70,0,0
31/12/2018,21:30:00,10,0,359,809.7,68,0,0
31/12/2018,21:45:00,10.4,0,359,809.6,65,0,0
31/12/2018,22:00:00,10.5,0,359,809.6,65,0,0
31/12/2018,22:15:00,10.5,0,359,809.5,64,0,0
31/12/2018,22:30:00,10.4,0,359,809.4,62,0,0
31/12/2018,22:45:00,10.5,0,359,809.3,61,0,0
31/12/2018,23:00:00,10.5,0,359,809.2,59,0,0
31/12/2018,23:15:00,10.5,0,359,809.1,58,0,0
31/12/2018,23:30:00,10.5,0,359,809.1,58,0,0
31/12/2018,23:45:00,10.6,0,359,809,57,0,0
1/1/2019,0:00:00,10.4,0,359,808.9,54,0,0
1/1/2019,0:15:00,10.4,0,359,808.8,53,0,0
1/1/2019,0:30:00,10.5,0,359,808.8,49,0,0
1/1/2019,0:45:00,10.6,0,359,808.9,45,0,0
1/1/2019,1:00:00,10.4,0,359,809,44,0,0
1/1/2019,1:15:00,10.3,0,359,809.2,43,0,0
1/1/2019,1:30:00,10.2,0,359,809.4,43,0,0
1/1/2019,1:45:00,10,0,359,809.6,42,0,0
1/1/2019,2:00:00,9.7,0,359,809.9,43,0,0
1/1/2019,2:15:00,9.6,0,359,810.1,43,0,0
1/1/2019,2:30:00,11.7,0,359,810.5,41,0,0
1/1/2019,2:45:00,12.6,0,359,810.6,44,0,0
1/1/2019,3:00:00,13.2,0,359,810.7,53,0,0
1/1/2019,3:15:00,13.8,0,359,811,52,0,0
1/1/2019,3:30:00,13.9,0,359,811.2,48,0,0
1/1/2019,3:45:00,13.4,0,359,811.4,56,0,0
1/1/2019,4:00:00,14.1,0,359,811.4,71,0,0
1/1/2019,4:15:00,13.8,0,359,811.5,84,0,0
1/1/2019,4:30:00,13.7,0,359,811.5,100,0,0
1/1/2019,4:45:00,14.4,0,359,811.5,1,0,0
1/1/2019,5:00:00,14.9,0,359,811.5,14,2,2
