Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Sol Rad
01/01/2017,00:00:00,7.9,5.4,17,821.9,59,0,0
01/01/2017,00:10:00,8,6.4,49,821.8,60,0,0
01/01/2017,00:20:00,8.3,8.2,51,821.8,61,0,0
01/01/2017,00:30:00,8.6,5.8,90,821.8,61,0,0
01/01/2017,00:40:00,8.5,7.1,48,821.6,61,0,0
01/01/2017,00:50:00,8.7,5.3,80,821.6,62,0,0
01/01/2017,01:00:00,8.4,6.9,58,821.5,62,0,0
01/01/2017,01:10:00,7.9,6.5,51,821.4,63,0,0
01/01/2017,01:20:00,7.7,3.8,52,821.4,64,0,0
01/01/2017,01:30:00,7.5,5.7,306,821.3,65,0,0
01/01/2017,01:40:00,7.7,5.9,47,821.3,64,0,0
01/01/2017,01:50:00,7.5,4.8,14,821.2,66,0,0
01/01/2017,02:00:00,7.4,4.4,29,821.2,67,0,0
01/01/2017,02:10:00,7.2,5,24,821.1,68,0,0
01/01/2017,02:20:00,7.4,4.7,55,821,69,0,0
01/01/2017,02:30:00,7.3,5.4,43,821,70,0,0
01/01/2017,02:40:00,7.3,4.8,290,820.9,69,0,0
01/01/2017,02:50:00,7,4.9,14,820.9,70,0,0
01/01/2017,03:00:00,7.3,4.3,4,820.9,69,0,0
01/01/2017,03:10:00,7.1,2.9,31,820.8,69,0,0
01/01/2017,03:20:00,7.4,4,90,820.7,69,0,0
01/01/2017,03:30:00,7.4,4.5,103,820.7,69,0,0
01/01/2017,03:40:00,7.7,4.5,95,820.6,69,0,0
01/01/2017,03:50:00,7.4,5.1,73,820.6,69,0,0
01/01/2017,04:00:00,7.3,4.8,41,820.6,70,0,0
01/01/2017,04:10:00,7.1,4.5,73,820.6,73,0,0
01/01/2017,04:20:00,7.6,6.4,57,820.5,73,0,0
01/01/2017,04:30:00,6.8,3.9,357,820.5,73,0,0
01/01/2017,04:40:00,7,4.9,22,820.5,74,0,0
01/01/2017,04:50:00,7,3.8,28,820.5,74,0,0
01/01/2017,05:00:00,6.8,4.5,29,820.5,75,0,0
01/01/2017,05:10:00,6.9,4.1,19,820.6,75,0,0
01/01/2017,05:20:00,6.8,4.8,44,820.7,74,0,0
01/01/2017,05:30:00,6.9,3.7,27,820.7,74,0,0
01/01/2017,05:40:00,6.7,4.2,33,820.8,73,0,0
01/01/2017,05:50:00,6.7,4.1,340,820.9,74,0,0
01/01/2017,06:00:00,6.6,4.7,0,820.9,73,0,0
01/01/2017,06:10:00,6.8,3.6,19,821.1,72,0,0
01/01/2017,06:20:00,6.6,4,14,821.1,73,0,0
01/01/2017,06:30:00,6.7,4.2,30,821.2,72,0,0
01/01/2017,06:40:00,6.7,4.5,25,821.4,72,0,0
01/01/2017,06:50:00,6.9,4.3,280,821.5,71,0,0
01/01/2017,07:00:00,7.3,4.1,17,821.5,70,0,0
01/01/2017,07:10:00,7.4,4.3,37,821.6,71,0,0
01/01/2017,07:20:00,7.3,5.1,15,821.7,71,0,0
01/01/2017,07:30:00,7.6,4.8,286,821.9,72,0,3
01/01/2017,07:40:00,8.1,4,58,821.9,71,0,11
01/01/2017,07:50:00,8.8,4.6,80,822,69,0,31
01/01/2017,08:00:00,9.4,4.5,270,822.1,67,0,45
01/01/2017,08:10:00,9.7,5.3,96,822.3,66,0,56
01/01/2017,08:20:00,10.3,5.9,80,822.5,66,0,60
01/01/2017,08:30:00,10.5,5.7,28,822.6,65,0,66
01/01/2017,08:40:00,11.1,4.8,111,822.7,65,0,71
01/01/2017,08:50:00,11.7,4.3,95,822.9,63,0,81
01/01/2017,09:00:00,12.1,4.7,118,823,63,0,96
01/01/2017,09:10:00,12.4,4,185,823.2,62,0,121
01/01/2017,09:20:00,12.8,4.3,107,823.3,63,0,151
01/01/2017,09:30:00,13.2,4.2,101,823.4,61,0,183
01/01/2017,09:40:00,13,6.1,40,823.4,60,0,216
01/01/2017,09:50:00,12.5,3.8,52,823.6,61,0,256
01/01/2017,10:00:00,13.1,3.4,75,823.7,61,0,295
01/01/2017,10:10:00,13.7,4.3,252,823.7,59,0,329
01/01/2017,10:20:00,13,5.1,86,823.6,59,0,366
01/01/2017,10:30:00,14.2,6,209,823.6,57,0,399
01/01/2017,10:40:00,13.5,3.4,221,823.5,57,0,433
01/01/2017,10:50:00,14.4,6.8,126,823.5,57,0,465
01/01/2017,11:00:00,14.3,4.8,153,823.4,57,0,493
01/01/2017,11:10:00,14.3,5.5,321,823.3,55,0,520
01/01/2017,11:20:00,14.7,5.3,121,823.2,55,0,538
01/01/2017,11:30:00,14.9,3.8,181,823.1,57,0,569
01/01/2017,11:40:00,14.8,4.8,142,823.1,55,0,590
01/01/2017,11:50:00,14.6,4,76,822.9,55,0,605
01/01/2017,12:00:00,12.9,3.6,165,822.8,55,0,615
01/01/2017,12:10:00,14.2,7.3,165,822.6,57,0,633
01/01/2017,12:20:00,14.4,3.9,82,822.5,55,0,171
01/01/2017,12:30:00,13.8,4.8,160,822.3,61,0,635
01/01/2017,12:40:00,13.9,3.7,126,822.2,58,0,639
01/01/2017,12:50:00,13.2,4.6,167,822.1,61,0,644
01/01/2017,13:00:00,13,3.4,334,822,61,0,632
01/01/2017,13:10:00,12.8,4.4,82,821.9,63,0,141
01/01/2017,13:20:00,13,3.4,91,821.7,64,0,205
01/01/2017,13:30:00,11.6,4.4,149,821.6,65,0,184
01/01/2017,13:40:00,11.9,4.5,100,821.4,64,0,197
01/01/2017,13:50:00,11.6,4.9,99,821.4,65,0,242
01/01/2017,14:00:00,11.6,5.5,277,821.2,62,0,198
01/01/2017,14:10:00,11.4,7.2,118,821.2,58,0,134
01/01/2017,14:20:00,11.3,3.1,70,821.1,62,0,85
01/01/2017,14:30:00,10.4,6.3,112,821.1,64,0,45
01/01/2017,14:40:00,10.1,6.2,65,821.2,66,0,27
01/01/2017,14:50:00,9.8,4.7,110,821.2,71,0,22
01/01/2017,15:00:00,9.7,7.9,60,821.2,72,0,14
01/01/2017,15:10:00,9.8,4.1,101,821.2,74,0,7
01/01/2017,15:20:00,8.9,4.2,19,821,83,0,20
01/01/2017,15:30:00,8.6,3.2,76,821,86,0,2
01/01/2017,15:40:00,8.1,3.5,9,821,84,0,22
01/01/2017,15:50:00,7.5,5.8,37,820.9,80,0,6
01/01/2017,16:00:00,7.6,5,14,820.8,83,0,29
01/01/2017,16:10:00,8.2,8,75,820.8,86,0,20
01/01/2017,16:20:00,8.3,5.4,73,820.7,86,0,22
