Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Sol Rad
 01/01/21, 00:00:00,9.7,0.8,99,820.8,20,0,----
 01/01/21, 00:15:00,9.9,0.7,87,820.7,20,0,----
 01/01/21, 00:30:00,9.9,2,10,820.8,19,0,----
 01/01/21, 00:45:00,9.9,0.5,132,820.9,22,0,----
 01/01/21, 01:00:00,9.8,2.1,11,820.9,18,0,----
 01/01/21, 01:15:00,9.2,1.9,31,820.8,19,0,----
 01/01/21, 01:30:00,8.8,3.4,14,820.6,21,0,----
 01/01/21, 01:45:00,8.5,3.2,11,820.5,19,0,----
 01/01/21, 02:00:00,9,2.5,14,820.4,22,0,----
 01/01/21, 02:15:00,8.4,3.2,22,820.4,20,0,----
 01/01/21, 02:30:00,8.3,3,15,820.5,20,0,----
 01/01/21, 02:45:00,8.9,2.2,19,820.4,21,0,----
 01/01/21, 03:00:00,9.1,0.9,28,820.3,16,0,----
 01/01/21, 03:15:00,9.5,0.5,4,820.2,14,0,----
 01/01/21, 03:30:00,8.9,0.2,359,820.3,19,0,----
 01/01/21, 03:45:00,8.4,1.3,22,820.1,16,0,----
 01/01/21, 04:00:00,7.9,1.8,35,820.1,20,0,----
 01/01/21, 04:15:00,8.2,2.2,16,820.1,22,0,----
 01/01/21, 04:30:00,8,2.3,39,820,21,0,----
 01/01/21, 04:45:00,8.2,1.1,9,820,19,0,----
 01/01/21, 05:00:00,8.4,1.3,24,820,15,0,----
 01/01/21, 05:15:00,8.5,1,43,820,16,0,----
 01/01/21, 05:30:00,8.1,1.5,27,820.1,17,0,----
 01/01/21, 05:45:00,8.1,1,37,820.2,11,0,----
 01/01/21, 06:00:00,7.7,2,16,820.2,15,0,----
 01/01/21, 06:15:00,7.4,1.8,20,820.3,7,0,----
 01/01/21, 06:30:00,8.1,2.6,20,820.5,8,0,----
 01/01/21, 06:45:00,7.2,2.5,14,820.6,12,0,----
 01/01/21, 07:00:00,7.7,4.7,11,820.8,5,0,----
 01/01/21, 07:15:00,8.1,3.3,27,821,3,0,----
 01/01/21, 07:30:00,9,3.8,14,821.1,3,0,----
 01/01/21, 07:45:00,9.3,2.6,13,821.3,6,0,----
 01/01/21, 08:00:00,10,3.3,7,821.6,10,0,----
 01/01/21, 08:15:00,10.4,3.9,2,821.9,10,0,----
 01/01/21, 08:30:00,11.1,2.2,9,822.1,14,0,----
 01/01/21, 08:45:00,11.8,3.6,22,822.2,11,0,----
 01/01/21, 09:00:00,11.6,4.4,22,822.5,10,0,----
 01/01/21, 09:15:00,12.5,4.3,70,822.8,16,0,----
 01/01/21, 09:30:00,12.4,2.7,43,823,19,0,----
 01/01/21, 09:45:00,12.8,3.6,25,823.1,18,0,----
 01/01/21, 10:00:00,12.5,4.3,62,823.2,20,0,----
 01/01/21, 10:15:00,12.4,5.2,52,823.2,21,0,----
 01/01/21, 10:30:00,11.7,4.5,49,823.1,22,0,----
 01/01/21, 10:45:00,11.6,3.8,6,823.1,22,0,----
 01/01/21, 11:00:00,11.5,5.5,37,822.9,24,0,----
 01/01/21, 11:15:00,12.1,5.9,47,822.9,25,0,----
 01/01/21, 11:30:00,12.2,4.7,66,822.8,25,0,----
 01/01/21, 11:45:00,12.4,3.2,39,822.7,26,0,----
 01/01/21, 12:00:00,12.3,5.1,60,822.6,25,0,----
 01/01/21, 12:15:00,11.5,5.2,52,822.4,27,0,----
 01/01/21, 12:30:00,11.8,4.7,70,822.2,30,0,----
 01/01/21, 12:45:00,11.1,4.2,308,821.9,27,0,----
 01/01/21, 13:00:00,11.5,5.4,46,821.8,17,0,----
 01/01/21, 13:15:00,11.9,3.8,307,821.6,15,0,----
 01/01/21, 13:30:00,12.8,3.7,348,821.5,13,0,----
 01/01/21, 13:45:00,12.9,3.7,67,821.3,21,0,----
 01/01/21, 14:00:00,12.8,1.8,102,821.1,21,0,----
 01/01/21, 14:15:00,13.2,2.9,138,821.1,26,0,----
 01/01/21, 14:30:00,11.4,2.4,261,820.9,33,0,----
 01/01/21, 14:45:00,11.5,2.2,195,820.8,36,0,----
 01/01/21, 15:00:00,11.8,2.6,236,820.9,37,0,----
 01/01/21, 15:15:00,11.8,1.6,179,820.8,41,0,----
 01/01/21, 15:30:00,11.3,3.9,42,820.7,41,0,----
 01/01/21, 15:45:00,11.1,2.3,40,820.6,43,0,----
 01/01/21, 16:00:00,10.7,3.7,352,820.5,42,0,----
 01/01/21, 16:15:00,9.9,4.9,2,820.4,42,0,----
 01/01/21, 16:30:00,9.2,4.2,6,820.4,31,0,----
 01/01/21, 16:45:00,9,1.4,257,820.5,25,0,----
 01/01/21, 17:00:00,9.3,0.6,94,820.5,19,0,----
 01/01/21, 17:15:00,8.8,0.3,359,820.5,22,0,----
 01/01/21, 17:30:00,8.1,0.4,359,820.4,14,0,----
 01/01/21, 17:45:00,7.6,2.7,19,820.3,32,0,----
 01/01/21, 18:00:00,8.1,3,10,820.3,30,0,----
 01/01/21, 18:15:00,8.7,0.4,359,820.5,32,0,----
 01/01/21, 18:30:00,8.3,1,327,820.5,39,0,----
 01/01/21, 18:45:00,8.6,1.2,22,820.6,8,0,----
 01/01/21, 19:00:00,8.9,0.4,359,820.6,11,0,----
 01/01/21, 19:15:00,8.9,0.4,359,820.6,6,0,----
 01/01/21, 19:30:00,9,0.9,275,820.8,3,0,----
 01/01/21, 19:45:00,9.2,0.9,218,820.9,3,0,----
 01/01/21, 20:00:00,9.2,1.2,215,821.1,3,0,----
 01/01/21, 20:15:00,9,1.5,281,821.2,3,0,----
 01/01/21, 20:30:00,9.1,1,245,821.4,2,0,----
 01/01/21, 20:45:00,8.7,0.9,356,821.4,2,0,----
 01/01/21, 21:00:00,8.6,1,328,821.4,2,0,----
 01/01/21, 21:15:00,9.1,2.5,301,821.5,2,0,----
 01/01/21, 21:30:00,9.1,1,22,821.5,2,0,----
 01/01/21, 21:45:00,8.7,0.9,324,821.6,2,0,----
 01/01/21, 22:00:00,8.8,1.5,289,821.6,2,0,----
 01/01/21, 22:15:00,9.1,2.2,294,821.7,2,0,----
 01/01/21, 22:30:00,9.3,1.9,219,821.7,2,0,----
 01/01/21, 22:45:00,9.1,2.8,291,821.6,2,0,----
 01/01/21, 23:00:00,9.2,2,317,821.6,3,0,----
 01/01/21, 23:15:00,8.6,1.5,343,821.6,3,0,----
 01/01/21, 23:30:00,8.2,1.2,357,821.5,4,0,----
 01/01/21, 23:45:00,8.3,1.1,355,821.4,3,0,----
 02/01/21, 00:00:00,8.2,1.2,51,821.2,15,0,----
 02/01/21, 00:15:00,7.9,0.9,250,821.2,6,0,----
 02/01/21, 00:30:00,7.9,0.6,234,821.1,13,0,----
 02/01/21, 00:45:00,8,1.4,266,821,8,0,----
 02/01/21, 01:00:00,8.5,2.8,283,821.1,4,0,----
 02/01/21, 01:15:00,8.9,2.6,330,821.2,8,0,----
 02/01/21, 01:30:00,8.8,2.4,302,821.1,7,0,----
 02/01/21, 01:45:00,8.6,2,297,820.9,9,0,----
 02/01/21, 02:00:00,8.4,1.7,285,820.9,14,0,----
 02/01/21, 02:15:00,8,2.1,350,820.8,14,0,----
 02/01/21, 02:30:00,8.6,1,337,820.9,13,0,----
 02/01/21, 02:45:00,8.7,1.7,27,820.8,15,0,----
 02/01/21, 03:00:00,8.2,3.8,6,820.7,13,0,----
 02/01/21, 03:15:00,8.5,1.3,9,820.7,12,0,----
 02/01/21, 03:30:00,8.2,1.7,321,820.6,14,0,----
 02/01/21, 03:45:00,7.8,3.3,277,820.7,17,0,----
 02/01/21, 04:00:00,8,3.8,271,820.7,23,0,----
 02/01/21, 04:15:00,8,2.2,293,820.6,31,0,----
 02/01/21, 04:30:00,7.8,2.4,285,820.8,31,0,----
 02/01/21, 04:45:00,7.5,2.8,328,820.9,36,0,----
 02/01/21, 05:00:00,7.6,1.4,314,820.8,31,0,----
 02/01/21, 05:15:00,7.9,2.1,335,820.9,31,0,----
 02/01/21, 05:30:00,8.1,2.5,286,821,29,0,----
 02/01/21, 05:45:00,8.3,2.6,348,821.1,24,0,----
 02/01/21, 06:00:00,8.8,1.9,10,821.2,17,0,----
 02/01/21, 06:15:00,9.3,1.7,28,821.3,15,0,----
 02/01/21, 06:30:00,9.6,1.7,2,821.4,14,0,----
 02/01/21, 06:45:00,9.4,1.8,33,821.5,12,0,----
 02/01/21, 07:00:00,8.8,3.1,6,821.3,14,0,----
 02/01/21, 07:15:00,9.1,1.5,327,821.6,12,0,----
 02/01/21, 07:30:00,9.5,2.9,10,821.9,13,0,----
 02/01/21, 07:45:00,9.3,2.1,258,822.1,15,0,----
 02/01/21, 08:00:00,9.3,1.2,233,822.3,18,0,----
 02/01/21, 08:15:00,9.2,1,348,822.5,22,0,----
 02/01/21, 08:30:00,9.6,2.1,7,822.7,23,0,----
 02/01/21, 08:45:00,9.7,1.8,228,822.9,24,0,----
 02/01/21, 09:00:00,10.1,3.3,291,823.3,22,0,----
 02/01/21, 09:15:00,10.8,1.1,182,823.4,26,0,----
 02/01/21, 09:30:00,12.1,6.5,76,823.3,22,0,----
 02/01/21, 09:45:00,12.6,3.2,29,823.5,23,0,----
 02/01/21, 10:00:00,13.7,3.4,30,823.5,24,0,----
 02/01/21, 10:15:00,14.1,3.3,37,823.4,21,0,----
 02/01/21, 10:30:00,14.7,3.3,47,823.4,20,0,----
 02/01/21, 10:45:00,14.4,2.6,49,823.3,20,0,----
 02/01/21, 11:00:00,15.5,4.5,329,823.3,20,0,----
 02/01/21, 11:15:00,15.1,2.1,275,823.1,28,0,----
 02/01/21, 11:30:00,14.7,2.3,212,822.9,31,0,----
 02/01/21, 11:45:00,14.2,3.8,199,822.7,32,0,----
 02/01/21, 12:00:00,15.2,2.5,42,822.6,30,0,----
 02/01/21, 12:15:00,15.5,1.6,211,822.4,31,0,----
 02/01/21, 12:30:00,16.3,1.6,33,822.3,29,0,----
 02/01/21, 12:45:00,15.9,2.4,286,822.1,30,0,----
